pH,T,S,EC,TDS,DO,WT,FC,BOD,COD,NO3,PO4,NSF,CCME
7.79,5.68,0.43,846.35,439.74,4.43,22.32,831.4,2.63,144.39,2.55,12.3,43.82,47.65
7.69,4.69,0.46,849.81,444.52,4.47,22.6,633.86,2.54,151.06,2.66,11.17,44.3,50.22
7.6,5.77,0.34,695.54,418.92,4.35,21.97,817.43,2.52,136.35,2.22,12.72,45.1,50.2
7.78,3.93,0.38,776.72,383.92,4.48,21.31,784.22,2.67,117.96,2.12,11.85,44.66,48.73
7.74,5.06,0.39,766.12,410.94,4.41,22.19,980.53,2.79,142.85,2.33,12.98,44.08,47.49
7.6,5.03,0.36,677.74,363.41,4.33,22.72,652.47,2.27,124.66,2.19,11.01,45.94,50.61
7.73,7.12,0.39,801.68,420.28,4.36,22.33,1049.21,2.78,141.91,2.67,12.96,43.43,47.52
7.68,4.67,0.43,816.64,437.73,4.45,22.26,698.27,2.61,157.18,2.59,12.11,44.56,51
7.7,3.13,0.34,757.83,346.17,4.49,22.01,438,2.14,109.87,1.89,9.58,47.29,54.42
7.7,6.57,0.42,808.61,456.04,4.37,22.28,953.29,2.8,159.6,2.78,13.56,43.12,47.31
7.62,4.63,0.37,730.35,386.28,4.38,22.39,708.7,2.44,119.33,2.15,11.55,45.61,50.79
7.56,4.8,0.33,641.46,341.85,4.36,22.63,725.64,2.32,123.92,2.12,10.73,46.17,50.32
7.7,6.42,0.37,699.2,404.87,4.36,22.17,885.91,2.75,140.85,2.77,12.85,43.78,48.49
7.59,3.63,0.25,522.6,261.65,4.3,22.08,771.35,2.45,71.36,1.46,8.97,48.02,58.31
7.61,3.26,0.34,693.46,345.58,4.31,22.32,471.96,2.09,101.6,1.73,11.52,47.34,53.2
7.7,5.45,0.32,647.85,324.05,4.39,21.3,724.35,2.5,81.12,1.96,10.26,45.83,53.32
7.83,5.41,0.45,914.86,455.42,4.44,22.1,670.79,2.41,146.42,2.54,11.41,44.32,50.06
7.7,5.96,0.46,882.13,501.32,4.47,22.82,815.56,2.74,160.1,2.8,11.47,43.01,47.46
7.61,6.73,0.37,737.8,467.88,4.33,22.2,1148.57,3.02,165.38,2.65,15.07,42.77,45.76
7.88,4.66,0.45,904.55,448.1,4.53,22.03,769.12,2.62,149.93,2.48,11.05,44.02,47.73
7.68,6.47,0.38,735.32,405.84,4.3,23.02,1132.59,2.83,136.06,2.44,12.49,43.38,46.73
7.61,7.28,0.49,681,436.33,4.55,23.2,1019.17,3.15,173.33,3.82,13.59,41.19,43.01
7.59,9.64,0.38,799.94,463.07,4.33,22.21,1132.74,2.89,164.23,3.29,13.8,42.3,47
7.64,10.48,0.39,784.4,448.63,4.34,22.27,1229.42,3.01,160.2,3.44,11.69,41.86,46.09
7.81,5.66,0.36,739.68,365.61,4.36,21.8,586.34,2.3,89.59,1.99,9.59,45.78,54.39
7.66,5.1,0.34,698.58,344.21,4.37,22.25,637.41,2.27,107.42,2.14,10.36,46.05,51.36
7.75,5.36,0.42,849.77,436.93,4.42,22.07,771.78,2.58,148.62,2.53,12.38,44.1,48.89
7.85,5.84,0.41,840.89,419.22,4.28,22.39,535,2.13,101.69,2.01,10.73,45.77,52.86
7.87,6.91,0.48,902.76,498.5,4.36,22.6,904.99,2.67,165.76,2.9,12.55,42.37,45.31
7.73,5.77,0.38,813.94,416.41,4.37,22.3,727.11,2.38,134.71,2.34,11.69,44.73,49.6
7.74,5.24,0.4,820.98,403.36,4.36,22.16,554.1,2.19,119.58,2.05,10.85,45.97,52.86
7.59,6.05,0.34,745.49,441.31,4.34,21.95,726.96,2.37,117.23,1.97,12.74,45.71,51.69
7.69,4.96,0.42,775.13,430.78,4.39,22.1,857.46,2.72,144.68,2.35,11.9,44.27,48.47
7.71,5.85,0.4,827.13,435.73,4.29,22.76,877.21,2.5,132.71,2.18,12.46,44.61,49.13
7.78,5.2,0.44,879.42,438.27,4.29,22.36,547.13,2.1,115.89,1.88,11.94,46.09,52.3
7.76,4.97,0.36,762.03,369.71,4.34,22.31,721.38,2.36,100.39,1.81,9.89,46.15,54.02
7.73,7.53,0.42,829.02,464.96,4.3,23.15,1041.37,2.77,143.12,2.85,12.38,42.35,44.82
7.71,5.31,0.45,836.97,437.83,4.51,22.62,546.31,2.4,149.51,2.74,9.45,44.83,52.18
7.6,4.87,0.34,684.64,376.69,4.38,22.29,729.69,2.52,127.61,2.21,11.08,45.71,52.03
7.58,3.68,0.38,709.69,378.03,4.4,22.46,627.81,2.33,139.63,2.21,12.56,45.86,49.53
7.89,6.78,0.43,894.85,445.45,4.43,21.64,767.29,2.58,134.55,2.52,10.53,43.72,51.35
7.62,4.65,0.39,608.45,378.25,4.37,21.89,983.71,2.91,146.6,2.36,12.67,44.42,47.74
7.61,6.85,0.49,791,458.28,4.55,23.68,723.44,3.06,174.22,4.06,10.4,41.18,45.46
7.63,8.56,0.39,729.32,468.33,4.36,22.11,1227.47,3.13,172.56,3.15,14.04,41.87,44.76
7.74,4.9,0.49,520.29,349.25,4.58,21.12,926.93,3.01,153.78,2.83,15.53,44.16,48.36
7.5,6.06,0.3,601.74,422.67,4.35,21.6,985.34,2.85,142.53,2.31,14.05,44.59,50.02
7.69,4.89,0.31,632.56,313.4,4.36,21.86,491.67,2.15,79.28,1.76,8.82,47.32,56.66
7.59,4.58,0.34,678.19,374.35,4.38,22.27,722.13,2.51,129.72,2.17,11.2,45.85,51.91
7.72,5.65,0.41,818.77,424.41,4.3,23.05,839.99,2.42,146.65,2.45,12.47,44.38,46.62
7.83,8.04,0.41,788.97,453.92,4.3,22.54,965.44,2.79,152.06,3.18,13.16,42.06,45.13
7.73,5.06,0.47,872.12,474.92,4.44,22.68,765.54,2.57,163.47,2.64,12.8,43.87,48.42
7.92,4.3,0.42,915.89,425.44,4.37,22.98,1201.33,2.8,136.53,1.91,11.34,43.39,44.1
7.71,6.6,0.43,813.28,457.32,4.37,22.16,904.67,2.69,156.05,2.67,13.31,43.69,47.8
7.74,5.55,0.35,723.6,354.41,4.37,22.15,605.93,2.24,101.28,2.08,9.51,45.88,52.15
7.62,4.71,0.29,594.98,311.92,4.37,21.75,498.65,2.22,81.17,1.82,9.34,47.7,58.12
7.82,5.73,0.38,781.2,405.64,4.35,22.38,857.18,2.61,126.02,2.32,10.92,44.42,50.51
7.66,8.39,0.38,785.89,415.07,4.3,22.41,798.48,2.43,133.48,2.78,11.45,44.43,51.56
7.66,5.2,0.43,773.24,463.6,4.4,22.09,1010.86,2.98,175.2,2.61,13.21,43.19,46.45
7.67,5.24,0.36,671.25,416.38,4.46,21.74,1266.25,3.42,162.8,2.64,15.02,42.42,43.75
7.89,3.71,0.61,1214,606,4.54,22.47,382.5,2.03,211.2,2.95,13.2,43.6,47.96
7.91,5.54,0.35,718.67,359,4.36,21.45,707.67,2.49,74.67,2.02,10.93,44.68,50.29
7.67,4.74,0.4,745.92,432.97,4.46,21.92,907.32,2.8,164.15,2.58,14.35,43.96,47.29
7.78,5.89,0.46,924.08,512.7,4.23,22.69,887,2.55,171.35,2.28,13.79,43.55,46.89
8.09,5.46,0.54,1081.33,538.33,4.23,22.69,333.67,1.84,133.33,1.8,10.91,45.05,51.42
7.63,5.49,0.39,746.45,421.71,4.34,22.33,839.19,2.63,133.11,2.27,11.94,44.67,49.33
7.9,7.64,0.39,789.2,404.58,4.34,22.1,724.11,2.44,112.43,2.72,10.39,43.85,50.33
7.65,6.82,0.39,762.97,433.86,4.35,22.17,1077.25,2.91,158.61,2.77,13.67,43.16,46.51
7.85,6.44,0.41,818.67,423.03,4.37,22.3,655.7,2.35,129.63,2.58,10.32,44.69,51.88
8.03,6.14,0.52,1026.08,510.08,4.49,21.9,662.75,2.34,150.13,2.53,9.73,43.8,50.72
7.56,6.23,0.35,725.1,429.57,4.33,22.06,836.56,2.56,143.93,2.46,14.12,44.64,49.97
7.66,4.86,0.36,697.79,375.05,4.38,22.07,771.38,2.54,129.61,2.19,11.35,45.47,50.73
7.72,4.07,0.38,726.17,377.81,4.43,21.81,762.32,2.61,131.87,2.18,11.01,45.23,50.08
7.75,4.02,0.37,632.17,376.48,4.43,21.24,1268.92,3.38,160.2,2.28,14.22,43.26,43.88
7.76,6.79,0.46,846.28,452.63,4.33,22.53,816.33,2.53,144.65,2.59,13.48,43.94,49.79
7.67,4.89,0.37,742.9,368.57,4.33,22.6,566.27,2.14,122.61,2.1,10.82,46.23,51.44
7.66,3.47,0.39,786.02,390.13,4.37,22.62,577,2.17,136.48,2.07,12.04,45.97,48.96
7.7,2.97,0.44,923.24,457.51,4.48,21.99,700.36,2.59,174.65,2.51,15.03,44.29,47.6
7.64,4.3,0.37,697.81,398.13,4.42,21.79,844.47,2.69,144.73,2.26,13.28,45.05,49.76
7.71,6.53,0.41,842.36,482.82,4.35,22.51,873.55,2.68,150.97,2.63,13.45,43.22,48.02
7.64,6.65,0.38,834.32,451.45,4.39,22.04,901.34,2.67,157.1,2.76,14.22,43.73,48.72
7.76,7.75,0.34,684.33,342,4.35,21.67,688.83,2.41,83.2,2.48,9.47,45.34,54.49
7.71,4.89,0.43,836.06,452.11,4.3,22.92,856.9,2.49,152.93,2.22,13.37,44.47,47.15
7.76,5.49,0.41,811.24,423.19,4.35,22.34,764.49,2.47,136.86,2.35,11.42,44.64,49.44
7.66,5.84,0.4,566.01,398.87,4.46,21.16,1038.19,3.01,151.15,2.58,15.37,43.98,48.36
7.79,4.56,0.44,756.19,395.14,4.45,22.15,953.63,2.74,145.23,2.35,12.87,44.24,47.11
7.54,5.82,0.32,632.22,425.11,4.36,21.64,983.07,2.84,146.42,2.32,14.03,44.49,49.42
7.67,4.23,0.37,706.25,389.97,4.36,21.58,846.57,2.7,120.06,1.91,12.26,45.09,50.04
7.82,4.65,0.43,891.01,430.69,4.33,22.54,781.17,2.36,123.01,1.82,11.57,45.34,49.84
7.83,6.97,0.49,905.08,481.72,4.24,23.43,901.24,2.47,163.45,2.81,14.33,43.07,45.8
7.71,6.34,0.45,763.17,428.96,4.4,22.99,922.87,2.76,144.55,2.81,12.57,43.19,46.58
7.64,4.28,0.35,678.18,387.45,4.39,21.7,816.43,2.64,142.27,2.16,12.63,45.43,50.63
7.61,3.63,0.34,693.93,345.03,4.39,22.21,613.81,2.28,110.78,1.95,11.28,46.73,52.31
7.48,5.53,0.45,726.94,427.61,4.52,23.68,578.5,2.88,151.64,3.3,9.62,43.44,50.22
7.63,4.41,0.41,747.09,421.42,4.44,22.22,790.76,2.62,160.61,2.54,14.35,44.43,47.61
7.7,13.28,0.43,870.5,435.5,4.23,23.15,917,2.48,129.6,3.44,7.48,43.29,56.31
7.65,4.88,0.4,641.44,367.4,4.41,21.99,888.93,2.76,119.77,2.3,13.24,44.91,50.01
7.72,5.88,0.35,728.12,355.39,4.35,22.48,556.84,2.13,105.63,2.14,8.89,46.18,52.94
7.66,6.35,0.4,781.16,446.96,4.33,22.61,1099.35,2.93,154.03,2.56,13.55,43.16,46.03
7.46,4.97,0.22,461.1,230.55,4.31,22.48,458.85,1.99,70.72,1.72,6.96,49.17,59.43
7.6,6.54,0.37,656.74,378.54,4.43,22.03,787.06,2.59,124.27,2.59,12.72,45.01,51.96
7.43,6.33,0.38,758.5,535,4.27,21.88,1441.5,3.5,241.6,3,18.17,41.11,41.7
7.72,4.84,0.42,782.5,420.55,4.33,22.43,659.78,2.37,130.5,2.19,12.55,45.13,49.92
7.62,6.46,0.39,622.12,344.34,4.43,22.64,768.86,2.59,123.32,2.84,10.76,44.65,50.62
