pH,T,S,EC,TDS,DO,WT,FC,BOD,COD,NO3,PO4,NSF,CCME
8.09,8.72,0.46,917.5,455.42,4.29,22.8,699.17,2.3,128.53,3.27,10.83,42.41,46.52
7.86,7.15,0.49,764.13,417.1,4.44,22.83,930.82,2.81,157.8,3.47,13.2,41.95,44.08
7.29,1.4,0.19,389,195,4.47,20.8,1288,3.26,41.6,1.81,17.2,46.14,43.38
7.66,5.71,0.41,806.26,462.36,4.36,22.43,969.15,2.81,167.26,2.64,13.21,43.25,45.99
7.8,4.78,0.47,922.78,487.86,4.22,23.12,588.14,2.12,149.18,2,12.45,45.59,49.88
7.77,6.12,0.44,741.72,393.53,4.41,22.74,805.97,2.59,145.57,3,12.48,43.53,46.57
7.91,3.35,0.34,662.5,322.25,4.49,20.57,1071.5,3.11,95.2,1.84,13.83,44.08,46.12
7.56,6.36,0.33,599.16,359.19,4.39,22.32,818.86,2.59,121.53,2.53,11.4,45.1,51.02
7.77,8.43,0.39,783.5,392,4.36,21.65,908.75,2.68,102.4,2.6,10.32,43.69,51.85
7.71,5.29,0.34,709.98,342.29,4.37,22.68,547.85,2.08,109.27,2.08,8.52,46.19,51.34
7.8,7.46,0.42,896.97,479.41,4.2,22.86,975.49,2.51,151.71,2.49,14.38,43.41,48.09
7.66,6.11,0.39,773.6,419.92,4.33,22.54,757.29,2.49,117.72,2.31,11.56,44.86,50.33
7.64,4.76,0.38,748.56,381.48,4.41,22.51,598.43,2.34,125.01,2.34,10.48,45.56,51.16
7.62,5.43,0.35,718.93,383.98,4.37,22.06,829.63,2.59,123.31,2.32,12.94,45.17,50.11
7.57,7.68,0.38,746.69,434.57,4.32,22.17,1042.31,2.84,158.37,2.87,13.08,43.37,48.02
7.72,6.55,0.45,787.72,441.81,4.38,22.42,893.89,2.7,156.35,2.74,14.8,43.6,49.22
7.65,4.9,0.36,674.56,403.26,4.45,21.8,999.35,2.96,153.17,2.48,14.17,43.98,47.34
7.74,4.15,0.4,753.8,416.86,4.34,22.11,870.59,2.62,140.93,1.97,12.31,44.92,48.83
7.67,6.27,0.42,780.35,466.97,4.33,22.29,1022.86,2.8,171.24,2.65,15.69,43.29,47.27
7.65,6.14,0.37,709.45,424.57,4.42,21.89,1109.93,3.07,159.14,2.69,13.92,43.15,46.22
